unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.3476,0.0208,0.3683,,0.1771,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Est
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.3999,0.0162,0.4162,,0.1602,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Hauts Bassins
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.2366,0.0183,0.2549,,0.3234,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Nord
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.2357,0,0.2357,,0.3351,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Plateau Central
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.1178,0,0.1178,,0.3768,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Sahel
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.1897,0.0164,0.2061,,0.1103,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Sud-Ouest
854,2018.917,2019.083,Y,15-49,PMA,MW,0.3375,0.0151,0.3526,,0.2467,N,,N,,N,,None,None,N,,N,,,,,,,,,Boucle de Mouhoun
854,2018.917,2019.083,Y,15-49,PMA,MW,0.3331,0.01,0.343,,0.2609,N,,N,,N,,None,None,N,,N,,,,,,,,,Cascades
854,2018.917,2019.083,Y,15-49,PMA,MW,0.3985,0.0569,0.4554,,0.1489,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre (including Ouagadougou)
854,2018.917,2019.083,Y,15-49,PMA,MW,0.2255,0.0235,0.249,,0.2819,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Est
